time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_viLeft,state_viRight,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
0,0,0,0,0,0,0,0,0,0,16.4912197195242,16.4912197195242,0.292683210286591,0,0,0,0.292683210286591,0,0,0,0,0,0,2.3967392432193e-09,-9.80664999760326,30226.5587764223,30226.5587764223,16.4912197195242,16.4912197195242,-0.551541170897492,-58839.8999856196,0.413655878173119,0,16.4912197291418,16.4912197291418
0.05,-4.59872510358123e-06,8.19651384668886e-18,-2.10505013496841e-10,1.12730316561672e-17,6.89656489612966e-07,9.7320968722797e-19,1.32518851126179e-18,1.72394949450481e-08,3.07844328954191e-20,16.4912197215942,16.4912197215943,0.292683210286591,0,0,2.4843538888826e-12,0.292683210286591,0,0,6.89656489612966e-07,1.72394949450481e-08,-2.10505013496841e-10,2.10425733798664e-10,-1.09268281326569e-08,-9.80665001092841,30226.5587732429,30226.5587732429,16.4912197215942,16.4912197215943,-0.551476619472957,-58839.9000655705,0.413931984037027,2.4843538888826e-12,16.4912197251259,16.4912197251258
0.1,-9.21382011524805e-06,5.64497137476906e-18,-1.10026923527793e-09,2.56730698116722e-17,1.37977378479708e-06,1.40879337987262e-18,3.07372778313886e-18,6.89733282015428e-08,6.0619049348914e-20,16.4912197221862,16.4912197221862,0.292683210286591,0,0,3.23695548553806e-11,0.292683210286591,0,0,1.37977378479708e-06,6.89733282015428e-08,-1.10026923527793e-09,1.09963372743913e-09,-2.46844299948601e-08,-9.80665002469079,30226.5587711414,30226.5587711414,16.4912197221862,16.4912197221862,-0.551411728484685,-58839.9001481447,0.414208998333027,3.23695548553806e-11,16.4912197224952,16.4912197224952
0.15,-1.38621999925412e-05,5.95908081516397e-18,-2.6838275621825e-09,1.71607943249472e-16,2.07035416711365e-06,9.84078640684062e-18,7.53071259158126e-18,1.5522459069058e-07,3.31013989917611e-19,16.4912197219222,16.4912197219222,0.292683210286591,0,0,1.2399969226438e-10,0.292683210286591,0,0,2.07035416711365e-06,1.5522459069058e-07,-2.6838275621825e-09,2.68167580786255e-09,-3.86171520500387e-08,-9.80665003863153,30226.558769258,30226.558769258,16.4912197219222,16.4912197219222,-0.551346122486877,-58839.9002317892,0.414487842151553,1.2399969226438e-10,16.491219720144,16.491219720144
0.2,-1.85607879201738e-05,1.62414024849614e-17,-4.96810671407994e-09,2.51274416030885e-16,2.76140145369468e-06,1.32795541192977e-17,1.68413675690449e-17,2.76016525797098e-07,8.71360210399444e-19,16.4912197210489,16.4912197210489,0.292683210286591,0,0,3.12192659953513e-10,0.292683210286591,0,0,2.76140145369468e-06,2.76016525797098e-07,-4.96810671407994e-09,4.96298362988197e-09,-5.26506141869307e-08,-9.80665005267635,30226.5587672502,30226.5587672502,16.4912197210489,16.4912197210489,-0.551279425918094,-58839.9003160581,0.414769437093175,3.12192659953513e-10,16.491219717632,16.491219717632
0.25,-2.33265154026782e-05,2.80186580311986e-17,-7.95843526122545e-09,1.63540295012074e-16,3.45292099810251e-06,1.4133934015745e-17,2.81354237465759e-17,4.31372606169799e-07,1.52344697441861e-18,16.491219719663,16.491219719663,0.292683210286591,0,0,6.32032412126294e-10,0.292683210286591,0,0,3.45292099810251e-06,4.31372606169799e-07,-7.95843526122545e-09,7.94837284148259e-09,-6.67832637670312e-08,-9.8066500668238,30226.5587649798,30226.5587649798,16.491219719663,16.491219719663,-0.55121126309616,-58839.9004009428,0.415054705271869,6.32032412126294e-10,16.4912197147814,16.4912197147814
0.3,-2.81763223946292e-05,4.25251706982553e-17,-1.16609130545786e-08,1.4226095500146e-16,4.14491969119009e-06,1.38766775366995e-17,3.59597141890475e-17,6.21316610564149e-07,2.26119618687049e-18,16.4912197178012,16.4912197178012,0.292683210286591,0,0,1.11885645616486e-09,0.292683210286591,0,0,4.14491969119009e-06,6.21316610564149e-07,-1.16609130545786e-08,1.16434066374479e-08,-8.10421158263529e-08,-9.80665008110108,30226.5587623885,30226.5587623885,16.4912197178012,16.4912197178012,-0.551141258221024,-58839.9004866065,0.415344569327173,1.11885645616486e-09,16.4912197115176,16.4912197115176
0.35,-3.31271574686127e-05,6.10921573337397e-17,-1.6083341206709e-08,7.76603930299838e-17,4.8374059619887e-06,1.06467039170832e-17,4.21723219709852e-17,8.45872700728997e-07,2.92499899405714e-18,16.4912197154756,16.4912197154756,0.292683210286591,0,0,1.80831995410674e-09,0.292683210286591,0,0,4.8374059619887e-06,8.45872700728997e-07,-1.6083341206709e-08,1.60553198485478e-08,-9.54652469689034e-08,-9.80665009554644,30226.5587594493,30226.5587594493,16.4912197154756,16.4912197154756,-0.551069035367121,-58839.9005732787,0.415639952431371,1.80831995410674e-09,16.4912197078059,16.4912197078059
0.4,-3.81959780207644e-05,8.16658894535569e-17,-2.12355814051088e-08,1.90974966999881e-16,5.53038977859859e-06,1.34380593102217e-17,4.87893775102152e-17,1.10506549833768e-06,3.49052652019117e-18,16.4912197126875,16.4912197126875,0.292683210286591,0,0,2.73648957392128e-09,0.292683210286591,0,0,5.53038977859859e-06,1.10506549833768e-06,-2.12355814051088e-08,2.11933723476098e-08,-1.10094890324879e-07,-9.80665011020236,30226.5587561468,30226.5587561468,16.4912197126875,16.4912197126875,-0.550994218476202,-58839.9006612141,0.415941778299916,2.73648957392128e-09,16.4912197036266,16.4912197036266
0.45,-4.33997505140626e-05,9.99303952449317e-17,-2.71296900306306e-08,6.32116530504589e-17,6.22388264911159e-06,1.30327834089975e-17,5.62042218295846e-17,1.39892016196451e-06,4.1499742399721e-18,16.4912197094331,16.4912197094331,0.292683210286591,0,0,3.93994851472841e-09,0.292683210286591,0,0,6.22388264911159e-06,1.39892016196451e-06,-2.71296900306306e-08,2.70689772445858e-08,-1.24974654757537e-07,-9.8066501251127,30226.5587524693,30226.5587524693,16.4912197094331,16.4912197094331,-0.550916431355948,-58839.9007506762,0.416250971209102,3.93994851472841e-09,16.4912196989647,16.4912196989647
