time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_viLeft,state_viRight,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
0,0,0,-0,0,0,0,0,-4.20445279689562e-14,0,16.4912197230316,16.4912197230316,0.29268321035793,1.82370044221024e-05,0,0,0.29268321035793,1.82370044221024e-05,0,0,-4.20445279689562e-14,-0,0,-3.62682233874997e-11,-9.80665000003627,30226.5587892796,30226.5587892796,16.4912197230316,16.4912197230316,-5.84025533489907e-09,-58839.9000002176,4.3801915011743e-09,0,16.4912197326492,16.4912197326492
0.05,-2.86096098883376e-14,-3.9518150160759e-18,5.08139063133817e-11,6.31546071483307e-18,7.38096700517098e-15,5.42731699196313e-18,-2.70367157736753e-18,-4.18606444596918e-14,-1.1520886515199e-20,16.4912197259226,16.4912197259226,0.29268321035793,1.82370044221024e-05,0,-8.54597643133961e-13,0.29268321035793,1.82370044221024e-05,0,7.38096700517098e-15,-4.18606444596918e-14,5.08139063133817e-11,-5.08139063133817e-11,1.33145780030948e-09,-9.80664999866854,30226.5587854453,30226.5587854453,16.4912197259226,16.4912197259226,-5.9230838472419e-09,-58839.8999920112,4.44432079796583e-09,-8.54597643133961e-13,16.4912197277171,16.4912197277171
0.1,-5.76636284045647e-14,-5.13396132222468e-18,1.26627716974686e-10,1.37019099631958e-17,1.48048380826881e-14,3.41934757806744e-18,-3.05852829493324e-18,-4.13061253899604e-14,2.56790959289544e-19,16.4912197264884,16.4912197264884,0.29268321035793,1.82370044221024e-05,0,-5.21775692734986e-12,0.29268321035793,1.82370044221024e-05,0,1.48048380826881e-14,-4.13061253899604e-14,1.26627716974686e-10,-1.26627716974686e-10,1.56761961989105e-09,-9.80664999843238,30226.5587847838,30226.5587847838,16.4912197264884,16.4912197264884,-5.93923013984425e-09,-58839.8999905943,4.45846987501641e-09,-5.21775692734986e-12,16.4912197268662,16.4912197268662
0.15,-8.71383879121982e-14,-1.78988407703599e-18,2.06397623848382e-10,-7.92750582405834e-17,2.22407983269583e-14,-7.34833009428429e-18,-4.54522704944681e-18,-4.03800110828241e-14,2.7122336002597e-19,16.4912197266329,16.4912197266329,0.29268321035793,1.82370044221024e-05,0,-1.35325595396688e-11,0.29268321035793,1.82370044221024e-05,0,2.22407983269583e-14,-4.03800110828241e-14,2.06397623848382e-10,-2.06397623848382e-10,1.59902992891148e-09,-9.80664999840097,30226.5587846964,30226.5587846964,16.4912197266329,16.4912197266329,-5.94359232242897e-09,-58839.8999904058,4.46381074138931e-09,-1.35325595396688e-11,16.4912197267537,16.4912197267537
0.2,-1.17186853555099e-13,-9.27210796646992e-18,2.86318967765836e-10,-8.63701275378337e-18,2.96845022184342e-14,-8.73382139369986e-18,-6.976057759098e-18,-3.9081898628448e-14,-1.37569177873949e-19,16.4912197267008,16.4912197267008,0.29268321035793,1.82370044221024e-05,0,-2.58508563397495e-11,0.29268321035793,1.82370044221024e-05,0,2.96845022184342e-14,-3.9081898628448e-14,2.86318967765836e-10,-2.86318967765836e-10,1.59346745931543e-09,-9.80664999840653,30226.5587847126,30226.5587847126,16.4912197267008,16.4912197267008,-5.94697973449452e-09,-58839.8999904392,4.46846129302514e-09,-2.58508563397495e-11,16.4912197267747,16.4912197267747
0.25,-1.4796821156241e-13,-1.56023293252203e-17,3.65707653787887e-10,-8.61142259991012e-18,3.71325322538996e-14,-8.15804293155204e-18,-7.40607099498958e-18,-3.74114808471172e-14,-5.32918707113491e-19,16.4912197267544,16.4912197267544,0.29268321035793,1.82370044221024e-05,0,-4.21539144470759e-11,0.29268321035793,1.82370044221024e-05,0,3.71325322538996e-14,-3.74114808471172e-14,3.65707653787887e-10,-3.65707653787887e-10,1.58131054680174e-09,-9.80664999841869,30226.5587847474,30226.5587847474,16.4912197267544,16.4912197267544,-5.94707849714431e-09,-58839.8999905121,4.47069745109016e-09,-4.21539144470759e-11,16.4912197268194,16.4912197268194
0.3,-1.79675552162755e-13,-1.84792308485838e-17,4.44444886535438e-10,-5.67967141712384e-18,4.45865586474746e-14,-8.21171183401855e-18,-1.14236145315075e-17,-3.53685144896003e-14,-9.38815281740128e-19,16.4912197268052,16.4912197268052,0.29268321035793,1.82370044221024e-05,0,-6.24104636575294e-11,0.29268321035793,1.82370044221024e-05,0,4.45865586474746e-14,-3.53685144896003e-14,4.44444886535438e-10,-4.44444886535438e-10,1.56805132670949e-09,-9.80664999843195,30226.5587847852,30226.5587847852,16.4912197268052,16.4912197268052,-5.94817062896214e-09,-58839.8999905917,4.47374445235871e-09,-6.24104636575294e-11,16.491219726868,16.491219726868
0.35,-2.1249218046385e-13,-2.662418582579e-17,5.22513629088891e-10,-3.7319578399033e-17,5.20467858185618e-14,-7.64528960476123e-18,-1.52734629744731e-17,-3.29527107100394e-14,-1.39449007481182e-18,16.491219726855,16.491219726855,0.29268321035793,1.82370044221024e-05,0,-8.65872040376988e-11,0.29268321035793,1.82370044221024e-05,0,5.20467858185618e-14,-3.29527107100394e-14,5.22513629088891e-10,-5.22513629088891e-10,1.55468903055104e-09,-9.80664999844531,30226.5587848233,30226.5587848233,16.491219726855,16.491219726855,-5.94953779001547e-09,-58839.8999906719,4.4770765742037e-09,-8.65872040376988e-11,16.491219726917,16.4912197269171
0.4,-2.46600344101261e-13,-3.56851094912313e-17,5.99915516911634e-10,-7.27868232431475e-17,5.95132590558804e-14,-5.71158695054185e-18,-1.92467412746619e-17,-3.01637305261703e-14,-1.71436281004322e-18,16.4912197269043,16.4912197269043,0.29268321035793,1.82370044221024e-05,0,-1.14650700789905e-10,0.29268321035793,1.82370044221024e-05,0,5.95132590558804e-14,-3.01637305261703e-14,5.99915516911634e-10,-5.99915516911634e-10,1.54139949396874e-09,-9.8066499984586,30226.5587848612,30226.5587848612,16.4912197269043,16.4912197269043,-5.95040133751535e-09,-58839.8999907516,4.48012279223487e-09,-1.14650700789905e-10,16.4912197269658,16.4912197269658
0.45,-2.82175642511552e-13,-4.11395115361555e-17,6.76655719756414e-10,-1.0596988181772e-16,6.69850238846801e-14,-6.86222732443651e-18,-2.4594858528892e-17,-2.70012943451488e-14,-2.04290452304078e-18,16.4912197269532,16.4912197269532,0.29268321035793,1.82370044221024e-05,0,-1.4656772677666e-10,0.29268321035793,1.82370044221024e-05,0,6.69850238846801e-14,-2.70012943451488e-14,6.76655719756414e-10,-6.76655719756414e-10,1.52822030941024e-09,-9.80664999847178,30226.5587848988,30226.5587848988,16.4912197269532,16.4912197269532,-5.95282266598793e-09,-58839.8999908307,4.48444164091348e-09,-1.4656772677666e-10,16.4912197270142,16.4912197270142
