time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
0,0,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,0,0
0.005,-8.36505589735774e-18,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-2.69211448600961e-17,-2.69211448600961e-17
0.01,-1.67301117947155e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-5.38422897201921e-17,-5.38422897201921e-17
0.015,-2.50951676920732e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-8.07634345802882e-17,-8.07634345802882e-17
0.02,-3.34602235894309e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-1.07684579440384e-16,-1.07684579440384e-16
0.025,-4.18252794867887e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-1.3460572430048e-16,-1.3460572430048e-16
0.03,-5.01903353841464e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-1.61526869160576e-16,-1.61526869160576e-16
0.035,-5.85553912815042e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-1.88448014020673e-16,-1.88448014020673e-16
0.04,-6.69204471788619e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-2.15369158880769e-16,-2.15369158880769e-16
0.045,-7.52855030762196e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-2.42290303740865e-16,-2.42290303740865e-16
0.05,-8.36505589735774e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-2.69211448600961e-16,-2.69211448600961e-16
0.055,-9.20156148709351e-17,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-2.96132593461057e-16,-2.96132593461057e-16
0.06,-1.00380670768293e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.23053738321153e-16,-3.23053738321153e-16
0.065,-1.08745726665651e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.49974883181249e-16,-3.49974883181249e-16
0.07,-1.17110782563008e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.76896028041345e-16,-3.76896028041345e-16
0.075,-1.25475838460366e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.03817172901441e-16,-4.03817172901441e-16
0.08,-1.36128600065083e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.93043020048966e-16,-3.93043020048966e-16
0.085,-1.47377795789098e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.21102641156427e-16,-4.21102641156427e-16
0.09,-1.58823778665703e-16,-1.44182394677468e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.26717218800532e-16,-4.26717218800532e-16
0.095,-1.65369804098633e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.80466575305722e-16,-3.80466575305722e-16
0.1,-1.74556596928536e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.07712090007612e-16,-4.07712090007612e-16
0.105,-1.85781306114143e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.97163705937067e-16,-3.97163705937067e-16
0.11,-1.97030501838158e-16,-1.44182394677468e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.25223327044528e-16,-4.25223327044528e-16
0.115,-2.03576527271088e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.78972683549718e-16,-3.78972683549718e-16
0.12,-2.1276332010099e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.06218198251607e-16,-4.06218198251607e-16
0.125,-2.23988029286598e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.95669814181063e-16,-3.95669814181063e-16
0.13,-2.35237225010613e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.23729435288524e-16,-4.23729435288524e-16
0.135,-2.46683207887219e-16,-1.44182394677468e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.2934401293263e-16,-4.2934401293263e-16
0.14,-2.53229233320148e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.83093369437819e-16,-3.83093369437819e-16
0.145,-2.60393089180658e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.09540356388633e-16,-4.09540356388633e-16
0.15,-2.71617798366265e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.98991972318088e-16,-3.98991972318088e-16
0.155,-2.82270559970982e-16,-1.67301117947155e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-3.88217819465613e-16,-3.88217819465613e-16
0.16,-2.93519755694997e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.16277440573074e-16,-4.16277440573074e-16
0.165,-3.03960407659492e-16,-2.92802758554027e-15,29419.95,29419.95,29419.95,29419.95,16.269694194372,16.269694194372,0.0337331692055155,0.0337331692055155,-4.06291396148362e-16,-4.06291396148362e-16
